,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,consoleme,Python
31,curator,Java
32,denominator,Java
33,derand,Java
34,dgs,HTML
35,dgs-codegen,Kotlin
36,dgs-examples-java,Java
37,dgs-examples-java-2.7,Java
38,dgs-examples-java.latest,Java
39,dgs-examples-java16,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,e2nest,Python
54,eclipse-jifa,Java
55,eclipse-mat,
56,edda,Scala
57,edda-client,Java
58,element-server,JavaScript
59,ember-batch-request,JavaScript
60,ember-nf-graph,JavaScript
61,ember-nf-graph-examples,JavaScript
62,eslint-config-netflix,JavaScript
63,eslint-config-netflix-dea,JavaScript
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
90,go-env,Go
91,go-expect,Go
92,go-iomux,Go
93,governator,Java
94,gradle-template,Java
95,hal-9001,Go
96,hollow,Java
97,hollow-reference-implementation,Java
98,hubcommander,Python
99,Hystrix,Java
100,iceberg,Java
101,iceberg-python,
102,iep,Java
103,iep-shadow,
104,image_compression_comparison,Python
105,inviso,JavaScript
106,karyon,Java
107,lemur,Python
108,lemur-docker,Python
109,libamicontained,Rust
110,Lipstick,JavaScript
111,mantis,Java
112,mantis-api,Java
113,mantis-cli,JavaScript
114,mantis-connectors,Java
115,mantis-control-plane,Java
116,mantis-examples,Java
117,mantis-gradle-plugin,Groovy
118,mantis-helm,Smarty
119,mantis-mql,Clojure
120,mantis-rxcontrol,Java
121,mantis-rxnetty,
122,mantis-source-jobs,Java
123,mantis-ui,TypeScript
124,matchcut,Jupyter Notebook
125,metacat,Java
126,metaflow,Python
127,metaflow-docs,JavaScript
128,metaflow-extensions-template,Python
129,metaflow-nflx-extensions,Python
130,metaflow-service,Python
131,metaflow-tools,HCL
132,metaflow-ui,TypeScript
133,metrics-client-go,Go
134,msl,C++
135,ndbench,HTML
136,nerror,JavaScript
137,netflix-commons,Java
138,netflix-graph,Java
139,netflix.github.com,HTML
140,netflixoss-npm-build-infrastructure,
141,nf-data-explorer,TypeScript
142,nflx-geofeed,
143,nflxprofile,Python
144,NfWebCrypto,C++
145,Nicobar,Java
146,ocelli,Java
147,octodns,
148,octodns-ns1,Python
149,octodns-route53,
150,octodns-ultra,Python
151,osstracker,Scala
152,p2plab,Go
153,photon,Java
154,PigPen,Clojure
155,pollyjs,JavaScript
156,polynote,HTML
157,Prana,Java
158,Priam,Java
159,probnik,TypeScript
160,pygenie,Python
161,pytheas,JavaScript
162,q,Java
163,Raigad,Java
164,ReactiveLab,Java
165,reactivesocket-examples,Java
166,read_bbrlog,C
167,recipes-rss,Java
168,rend,Go
169,rend-http,Go
170,rend-lmdb,Go
171,repokid,Python
172,restful-jsonapi,Ruby
173,ribbon,Java
174,runtime-health,Java
175,rx-aws-java-sdk,Java
176,s3mper,Java
177,security-bulletins,
178,security_monkey,Python
179,servo,Java
180,sherlock,R
181,signal-wrapper,Go
182,SimianArmy,Java
183,sleepy-puppy-docker,Dockerfile
184,spark,Scala
185,spectator,Java
186,spectator-cpp,C++
187,spectator-go,Go
188,spectator-js,JavaScript
189,spectator-py,Python
190,spectator-rb,Ruby
191,staash,Java
192,sureal,Python
193,suro,Java
194,Surus,Java
195,taskintrospection,C
196,tcplog_dumper,C
197,techreports,
198,titus,
199,titus-api-definitions,Makefile
200,titus-control-plane,Java
201,titus-executor,Go
202,titus-kube-common,Go
203,tslint-config-netflix,JavaScript
204,Turbine,Java
205,unleash,JavaScript
206,user2020-metaflow-tutorial,R
207,vector,JavaScript
208,vectorflow,D
209,virtual-kubelet,Go
210,vizceral,JavaScript
211,vizceral-component,JavaScript
212,vizceral-example,JavaScript
213,vizceral-react,JavaScript
214,vmaf,Python
215,vmaf_resource,
216,vp9-dash,
217,webpack-parse-query,JavaScript
218,weep,Go
219,Workflowable,Ruby
220,x-element,JavaScript
221,x-test,JavaScript
222,yetch,JavaScript
223,zeno,Java
224,zuul,Java
